id,name,category,subcategory,latitude,longitude,city,description,rating,match_confidence,opening_hours,opening_hours_source,has_opening_hours,is_24_7,is_likely_open,has_match_confidence,score,has_valid_source,visit_duration,tags,tags_str
3,Biblioteca de Cataluña,cultural,library,41.381,2.16951,Barcelona,national library,4.2,0.93,"Mo-Fr 09:00-20:00+; Sa 09:00-14:00+; PH,Su off",OSM,True,False,True,True,3.219,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
34,Esquerra de l'Eixample,cultural,library,41.3868,2.15205,Barcelona,neighborhood,4.1,0.5037655860349127,,,False,False,False,False,2.5679602244389024,False,60,"['culture', 'indoor']",culture|indoor
35,Can Mariner (Barcelona),cultural,library,41.4312,2.16056,Barcelona,masia,4.1,0.65,"Mo,Fr 15:30-20:00; Tu,Th 09:30-13:30,15:30-20:00; We 09:30-20:00; Sa 10:00-14:00",OSM,True,False,True,True,3.0649999999999995,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
111,Archivo Histórico de la Ciudad de Barcelona,cultural,library,41.3841,2.17567,Barcelona,archive,4.3,0.5037655860349127,,,False,False,False,False,2.6869602244389026,False,60,"['culture', 'indoor']",culture|indoor
112,Arxiu Diocesà de Barcelona,cultural,library,41.3837,2.17534,Barcelona,episcopal archive,4.2,0.75,Mo off; Tu-We 18:00-01:00; Th 18:00-02:00; Fr 18:00-03:00; Sa 12:30-03:00; Su 17:30-01:00,OSM,True,False,True,True,3.165,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
120,CRAI Biblioteca de Lletres,cultural,library,41.3864,2.16372,Barcelona,campus,4.0,0.5037655860349127,,,False,False,False,False,2.5084602244389025,False,60,"['culture', 'indoor']",culture|indoor
151,Cooperativa La Fraternitat,cultural,library,41.3792,2.18882,Barcelona,building,4.1,0.55,"Mo-We 09:00-15:15; Th-Fr 09:00-15:15, 18:00-20:15; Sa 09:00-13:00",OSM,True,False,True,True,3.0349999999999997,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
154,Can Saladrigas,cultural,library,41.4015,2.20422,Barcelona,building,4.6,0.5037655860349127,,,False,False,False,False,2.8654602244389027,False,60,"['culture', 'indoor']",culture|indoor
156,Escola Professional de la Dona,cultural,library,41.3866,2.17617,Barcelona,school,4.4,0.56,Mo-Su 09:00-15:30,OSM,True,False,True,True,3.248,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
168,Punto interés,cultural,library,41.3844,2.17183,Barcelona,monument,3.9,0.48,Mo-Sa 11:00-21:00,OSM,True,False,True,True,2.874,True,60,"['culture', 'has_schedule', 'indoor']",culture|has_schedule|indoor
